车牌	VIN	ICCID	最后通讯时间	最后有效里程	电压	最后有效总电压上传时间	最后经度	最后纬度
浙AK23D3	LGHC4V1D7HE203139	89860117750004318664	20180712005838	34.0	562.8	20180710125219	120.045567	30.313723
浙AL07Z6	LGHC4V1D0HE203144	89860117750004315413	20180705195309	31.0	564.4	20180513160043	120.045573	30.313817
浙AJ55F8	LGHC4V1D4HE203146	89860117750004329661	20180712085245	16062.0	600.1	20180712085245	120.348007	30.218433
粤AD16138	LGHC4V1D8HE202565	89860117796000677918	20180712115952	4375.0	566.5	20180712115952	113.368822	23.118065
粤A3U7V8	LGHC4V1DXHE202566	89860117795950086963	20180712073008	6946.0	566.0	20180711192758	113.295667	23.30943
粤AD03233	LGHC4V1D1HE202567	89860117796000678320	20180529104505	229.0	571.5	20180529104505	113.303123	23.314115
粤AD13387	LGHC4V1D3HE202568	89860117796000677926	20180712115954	5841.0	572.1	20180712115954	113.38783	22.980117
粤AD17995	LGHC4V1D5HE202569	89860117796000677900	20180712115959	3781.0	569.6	20180712115959	113.389245	23.208178
粤AD05589	LGHC4V1D7HE202573	89860117795950229522	20180712004516	357.0	569.2	20180418183706	113.303805	23.313578
粤AD02660	LGHC4V1D4HE202577	89860117795950087987	20180712120000	11796.0	539.3	20180712120000	113.401028	23.133112
粤AD02998	LGHC4V1D6HE202578	89860117796000678296	20180705131132	150.0	572.0	20180705131132	113.303378	23.314457
粤A5UX07	LGHC4V1D8HE202579	89860117796000556831	20180418183054	112.0	564.2	20180418182624	113.303693	23.313548
粤AD05225	LGHC4V1D6HE202581	89860117796000679302	20180528055515	2714.0	551.1	20180528055515	113.284993	23.279653
粤AD13650	LGHC4V1D8HE202582	89860117795950229092	20180712015045	163.0	573.5	20180615115445	113.303657	23.313587
粤AD16805	LGHC4V1DXHE202583	89860117796000677884	20180418184024	171.0	560.8	20180418184024	113.303875	23.313702
皖AD23618	LGHC4V1D4HE203678	89860117750004321585	20180712115938	3473.0	571.7	20180712115938	117.176337	31.817533
皖AD26020	LGHC4V1D6HE203679	89860117750004321908	20180530110554	25.0	0.0	20180530110554	117.424332	31.83384
皖AD04819	LGHC4V1D8HE203683	89860117750004321395	20180614115739	30.0	562.0	20180605111654	117.424327	31.83465
皖AD26590	LGHC4V1DXHE203684	89860117750004326105	20180712101805	3370.0	571.8	20180712101805	117.37843	31.83709
皖AD02491	LGHC4V1D1HE203735	89860117750004333291	20180712025507	96.0	573.8	20180707143518	117.423947	31.834713
皖AD27823	LGHC4V1D5HE203737	89860117750004317187	20180712033945	40.0	558.6	20180707152002	117.425687	31.834565
皖AD27877	LGHC4V1D9HE203739	89860117750004328630	20180712093616	1511.0	565.8	20180711213427	117.273157	31.816642
皖AD22259	LGHC4V1D6HE203746	89860117750004321478	20180712030753	960.0	572.1	20180707144753	117.424612	31.834517
皖AD23793	LGHC4V1D8HE203747	89860117750004334117	20180706225052	28.0	564.7	20180705104358	117.425305	31.834055
苏AD07653	LGHC4V1DXHE203510	89860117750004319183	20180604122225	48.0	571.1	20180601120936	118.816132	31.830618
苏AD06813	LGHC4V1D9HE203515	89860117750004328317	20180712030215	50.0	572.0	20180601120544	118.816033	31.830608
苏AD35836	LGHC4V1D4HE203518	89860117750004319878	20180712025526	2382.0	572.4	20180601115907	118.81572	31.831245
苏AD00732	LGHC4V1D6HE203519	89860117750004317989	20180712094250	643.0	585.6	20180627083656	118.816022	31.830238
豫AD36700	LGHC4V1D3HE203168	89860117750004329455	20180712055512	144.0	570.0	20180621162544	113.75394	34.871892
豫AD52700	LGHC4V1D3HE203171	89860117750004319464	20180712103117	689.0	556.6	20180712103117	114.03998	34.73279
豫AD53998	LGHC4V1D9HE203174	89860117750004319449	20180712071442	119.0	579.3	20180620174056	113.755067	34.871543
豫AD53339	LGHC4V1D2HE203176	89860117750004326089	20180712101824	1686.0	557.9	20180711221628	113.802363	34.756272
豫AD52969	LGHC4V1D8HE203179	89860117750004318383	20180712073635	172.0	560.0	20180709192544	113.753992	34.871972
豫AD52799	LGHC4V1D4HE203180	89860117750004318870	20180712083852	119.0	587.5	20180712083852	113.754977	34.871793
豫AD39933	LGHC4V1D3HE203185	89860117750004317245	20180712005408	128.0	520.1	20180709124331	113.754355	34.871548
豫AD52967	LGHC4V1D5HE203186	89860117750004319340	20180712064127	120.0	580.4	20180620170604	113.754515	34.871868
豫AD52995	LGHC4V1D7HE203187	89860117750004317781	20180712074557	117.0	589.0	20180620181132	113.754948	34.871482
豫AD52205	LGHC4V1D2HE203193	89860117750004325347	20180712061509	119.0	586.2	20180620164043	113.754228	34.871942
豫AD53989	LGHC4V1D9HE203207	89860117750004319134	20180712005306	123.0	519.7	20180709124207	113.754367	34.87158
豫AD53988	LGHC4V1D2HE203212	89860117750004325461	20180712063308	120.0	581.5	20180620165849	113.754472	34.871908
豫AD52223	LGHC4V1D4HE203213	89860117750004326873	20180712113150	122.0	586.0	20180709111851	113.755077	34.871342
豫AD36060	LGHC4V1D8HE203215	89860117750004318417	20180712064156	850.0	586.1	20180625172914	113.754092	34.871818
浙AH05Z5	LGHC4V1DXHE203474	89860117750004318896	20180712025012	72.0	551.7	20180711144814	120.217282	30.182433
浙AN65K7	LGHC4V1D3HE203476	89860117750004329687	20180426183744	34.0	569.8	20180414174504	120.045765	30.313812
浙AK10C0	LGHC4V1D9HE203479	89860117750004319324	20180712071934	44.0	571.1	20180513145705	120.045617	30.313912
浙AK53U0	LGHC4V1D2HE203484	89860117750004325594	20180712115953	5620.0	565.9	20180712115953	120.000772	30.023347
浙AK08L6	LGHC4V1D9HE203501	89860117750004317484	20180712055524	70.0	565.3	20180511132238	120.045957	30.314033
浙AL69R9	LGHC4V1D8HE203506	89860117750004318003	20180712012058	74.0	563.8	20180710131443	120.045892	30.313902
琼AD03788	LGHC4V1D3HE203560	89860117750004319084	20180712074931	46.0	571.2	20180608172246	110.358347	20.05068
琼AD00159	LGHC4V1D9HE203563	89860117750004317997	20180712032851	231.0	564.6	20180702144736	110.358707	20.050723
琼AD08058	LGHC4V1D2HE203565	89860117750004329489	20180712075347	44.0	571.5	20180608172743	110.358123	20.050773
琼AD08909	LGHC4V1DXHE203569	89860117750004328754	20180712080055	44.0	565.0	20180608173448	110.358367	20.050822
琼AD09581	LGHC4V1D8HE203571	89860117750004318904	20180712075400	53.0	565.1	20180608172843	110.35855	20.050848
琼AD00119	LGHC4V1D7HE203576	89860117750004317880	20180712035036	50.0	572.0	20180702150909	110.358468	20.050875
粤AM35N7	LGHC4V1D7HE202704	89860117750004327780	20180712022959	206.0	571.3	20180710142322	113.303575	23.314462
粤A3G2J9	LGHC4V1D9HE202705	89860117750004319902	20180422214313	183.0	0.0	20180418154939	113.304082	23.313507
粤AD16393	LGHC4V1D0HE202706	89860117750004327178	20180712004018	215.0	563.5	20180418183044	113.303667	23.313632
粤A6H2D7	LGHC4V1D2HE202710	89860117750004316882	20180712022705	234.0	572.0	20180709141609	113.303397	23.314378
粤AD10131	LGHC4V1D4HE202711	89860117795950226890	20180712045649	5148.0	561.8	20180705162841	113.30344	23.314302
粤A0VG57	LGHC4V1D8HE202713	89860117750004312972	20180422152603	120.0	564.8	20180418150829	113.304068	23.313545
粤A3UQ97	LGHC4V1DXHE202714	89860117750004314135	20180612010614	1437.0	559.4	20180612010614	113.293167	23.304028
苏AD09570	LGHC4V1D2HE203520	89860117750004326121	20180712061339	68.0	566.0	20180601151727	118.816488	31.828102
苏AD39877	LGHC4V1D4HE203521	89860117750004328671	20180712051557	50.0	570.0	20180601141903	118.817113	31.82776
苏AD01167	LGHC4V1DXHE203524	89860117750004317153	20180712044940	49.0	571.8	20180601135341	118.817357	31.82727
苏AD06701	LGHC4V1D5HE203527	89860117750004319522	20180616042702	45.0	572.3	20180601152342	118.816433	31.828042
琼BD09568	LGHC4V1D0HE203242	89860117750004326816	20180712043047	65.0	540.1	20180711162841	109.474148	18.287513
琼BD05239	LGHC4V1D4HE203244	89860117750004327012	20180712052721	54.0	522.0	20180711172529	109.474033	18.287643
琼BD01615	LGHC4V1D1HE203248	89860117750004328135	20180712043751	78.0	538.0	20180626153002	109.474173	18.287415
琼BD07370	LGHC4V1D7HE203254	89860117750004329307	20180712052152	57.0	549.6	20180711171942	109.474075	18.287698
琼BD07911	LGHC4V1D4HE203258	89860117750004316437	20180712012131	80.0	539.0	20180613231935	109.474307	18.287522
琼BD06308	LGHC4V1D4HE203261	89860117750004325206	20180712062813	53.0	584.0	20180707180853	109.507668	18.314727
琼BD07398	LGHC4V1D1HE203265	89860117750004317930	20180712111009	50.0	519.6	20180712111009	109.507612	18.314748
琼BD02759	LGHC4V1D9HE203269	89860117750004319613	20180712055728	48.0	548.8	20180711175527	109.507497	18.315043
贵AD09093	LGHC4V1DXHE203698	89860117750004318482	20180712051639	73.0	566.8	20180706165245	106.585175	26.631307
贵AD00551	LGHC4V1D1HE203699	89860117750004321932	20180712051601	70.0	567.3	20180706165215	106.585213	26.631263
贵AD08186	LGHC4V1D4HE203700	89860117750004321668	20180712051037	76.0	567.0	20180706164656	106.585228	26.63115
贵AD08981	LGHC4V1D6HE203701	89860117750004322237	20180712002821	57.0	565.0	20180704115534	102.789657	25.011295
贵AD02819	LGHC4V1D1HE203704	89860117750004319159	20180712051747	78.0	567.0	20180706165409	106.585255	26.631433
贵AD02999	LGHC4V1D3HE203705	89860117750004328879	20180712052055	71.0	566.6	20180706165644	106.585323	26.631312
贵AD03729	LGHC4V1D5HE203706	89860117750004326998	20180712052256	66.0	566.2	20180706165904	106.585368	26.631482
贵AD00531	LGHC4V1D0HE203709	89860117750004326733	20180712043601	149.0	573.5	20180711163412	102.833045	24.941623
贵AD01029	LGHC4V1D9HE203711	89860117750004326626	20180712115936	88.0	572.6	20180712115936	102.833702	24.942417
贵AD03725	LGHC4V1D0HE203712	89860117750004315058	20180712052418	69.0	566.5	20180706170009	106.585297	26.631472
贵AD07480	LGHC4V1D4HE203714	89860117750004329703	20180712051943	70.0	572.8	20180706165556	106.585262	26.63109
贵AD03731	LGHC4V1DXHE203717	89860117750004310760	20180712020308	67.0	565.0	20180711140121	102.78974	25.011277
琼AD09602	LGHC4V1D9HE203580	89860117750004318839	20180712075236	87.0	565.0	20180608172654	110.358438	20.050778
琼AD00518	LGHC4V1D0HE203581	89860117750004329281	20180711030249	845.0	565.8	20180627135823	110.358533	20.050922
琼AD09695	LGHC4V1D2HE203582	89860117750004318987	20180712085836	47.0	570.5	20180625194708	110.358477	20.05095
琼AD09622	LGHC4V1D4HE203583	89860117750004325131	20180712074449	46.0	571.5	20180608171756	110.358557	20.050763
琼AD08922	LGHC4V1D3HE203588	89860117750004329539	20180712075100	57.0	571.5	20180608172454	110.35843	20.050842
琼AD09678	LGHC4V1D5HE203589	89860117750004319662	20180712074856	54.0	570.2	20180608172252	110.358535	20.050803
琼AD01638	LGHC4V1D3HE203591	89860117750004319654	20180712074433	49.0	570.7	20180608171849	110.358378	20.05068
琼AD09668	LGHC4V1D9HE203594	89860117750004319571	20180712075637	74.0	513.6	20180608173002	110.358418	20.050827
琼AD09068	LGHC4V1D0HE203595	89860117750004328408	20180530155626	47.0	565.5	20180420130157	110.358478	20.050825
琼AD03168	LGHC4V1D4HE203597	89860117750004328390	20180712075150	44.0	565.2	20180608172603	110.358175	20.050755
琼AD08090	LGHC4V1D0HE203600	89860117750004325123	20180712075101	44.0	559.8	20180608172512	110.358158	20.050628
琼AD00120	LGHC4V1D4HE203602	89860117750004325693	20180615022334	40.0	0.0	20180608135509	110.358478	20.05074
粤A8R7Q6	LGHC4V1D1HE202715	89860117750004339991	20180423033249	105.0	563.4	20180418151003	113.304095	23.313588
粤AD02393	LGHC4V1D3HE202716	89860117750004339041	20180712111244	4803.0	579.0	20180712111244	113.385002	23.20478
粤AD05556	LGHC4V1D5HE202717	89860117750004338357	20180712003350	165.0	564.6	20180418182537	113.303755	23.313423
粤AD03296	LGHC4V1D7HE202718	89860117750004313855	20180712061220	206.0	571.2	20180529145931	113.30332	23.314338
粤AD05506	LGHC4V1D9HE202719	89860117750004327954	20180712061024	220.0	565.2	20180529145852	113.303368	23.314355
粤AD02923	LGHC4V1D5HE202720	89860117750004327947	20180712114619	80.0	573.0	20180524201443	113.30318	23.314185
粤AD13032	LGHC4V1D7HE202721	89860117750004328739	20180701203158	970.0	571.0	20180615191951	113.296555	23.30958
粤AD06995	LGHC4V1D6HE202726	89860117750004310786	20180712071736	3494.0	584.0	20180712071736	113.355618	22.811482
粤AD06066	LGHC4V1D8HE202727	89860117750004338233	20180712114948	92.0	573.3	20180704111440	113.303192	23.314278
粤AD06058	LGHC4V1DXHE202728	89860117750004312279	20180712115936	252.0	582.0	20180712115936	113.294963	23.309347
粤AD02005	LGHC4V1D1HE202729	89860117750004312782	20180712015401	136.0	571.5	20180612114356	113.30314	23.314248
粤A5U9H0	LGHC4V1DXHE202731	89860117750004312154	20180712092011	10000.0	563.8	20180712092011	113.313372	23.261148
粤AD15120	LGHC4V1D1HE202732	89860117750004314580	20180712005350	162.0	559.5	20180418184106	113.304083	23.313595
琼BD02136	LGHC4V1D7HE203271	89860117750004319019	20180712050827	41.0	522.7	20180529135737	109.473972	18.287632
豫AD55502	LGHC4V1D1HE202844	89860117750004326006	20180712120000	115.0	538.8	20180712120000	113.753917	34.871585
豫AD55735	LGHC4V1D3HE202845	89860117750004315546	20180712071225	131.0	580.2	20180620173802	113.755047	34.87154
豫AD57199	LGHC4V1D5HE202846	89860117750004329141	20180712063511	184.0	542.8	20180620170114	113.754467	34.871775
豫AD52730	LGHC4V1D7HE202847	89860117750004327434	20180712055431	111.0	580.3	20180620162044	113.753992	34.872003
豫AD58386	LGHC4V1D6HE202855	89860117750004313137	20180709125340	112.0	517.1	20180709125340	113.754387	34.87149
豫AD56353	LGHC4V1D8HE202856	89860117750004329745	20180712064535	111.0	579.3	20180620171041	113.754583	34.87181
豫AD58757	LGHC4V1D1HE202858	89860117750004317336	20180712061754	112.0	584.0	20180620164326	113.754302	34.871945
豫AD55218	LGHC4V1DXHE202860	89860117750004316551	20180712073905	115.0	585.4	20180620180455	113.754958	34.871573
豫AD00605	LGHC4V1D5HE202863	89860117750004326360	20180712055831	112.0	579.3	20180620162424	113.754042	34.871943
豫AD52909	LGHC4V1D9HE202865	89860117750004314671	20180712074253	113.0	582.5	20180620180709	113.754805	34.871565
豫AD55383	LGHC4V1D2HE202867	89860117750004329323	20180712005446	2213.0	593.8	20180625114241	113.754062	34.871783
豫AD55112	LGHC4V1D6HE202869	89860117750004315868	20180712083247	130.0	586.8	20180712083247	113.754948	34.871728
豫AD53593	LGHC4V1D6HE202872	89860117750004318797	20180712063705	138.0	581.1	20180620170336	113.754625	34.871853
琼AD02290	LGHC4V1D6HE203603	89860117750004325180	20180712070700	75.0	547.2	20180420130629	110.358385	20.050775
川AD16539	LGHC4V1D9HE202509	89860117796000679633	20180712001914	14261.0	588.5	20180712001914	103.97099	30.558002
川AD18399	LGHC4V1D2HE202514	89860117796000679336	20180712115958	21246.0	588.3	20180712115958	103.908128	30.784353
川AD13901	LGHC4V1DXHE202518	89860117796000679658	20180712115959	23262.0	555.0	20180712115959	104.185035	30.581463
川AD10686	LGHC4V1D1HE202505	89860117795950234761	20180712111308	30864.0	569.6	20180712111308	103.964797	30.535405
川AD07589	LGHC4V1D5HE202507	89860117796000678429	20180712115934	10571.0	572.4	20180712115934	104.148252	30.833037
川AD14999	LGHC4V1D9HE202512	89860117795950233003	20180712111524	22324.0	587.1	20180712111524	104.121063	30.80316
川AD12332	LGHC4V1D0HE202513	89860117796000557292	20180712115948	19551.0	563.5	20180712115948	104.077472	30.772737
川AD09444	LGHC4V1D4HE202515	89860117796000678676	20180712111827	18711.0	567.4	20180712111827	103.896985	30.617295
川AD14988	LGHC4V1D6HE202516	89860117796000679229	20180712115936	18063.0	530.4	20180712115936	103.999237	30.508707
川AD00758	LGHC4V1D8HE202517	89860117796000678551	20180712115948	12662.0	589.9	20180712115948	104.1711	30.644158
鄂AD12710	LGHC4V1D8HE204154	89860117750004336070	20180712025647	57.0	525.9	20180625134444	114.509253	30.602973
鄂AD12635	LGHC4V1D9HE204163	89860117750004323607	20180712051935	163.0	568.1	20180625160629	114.509387	30.603202
陕A7D5U3	LGHC4V1D6HE204198	89860117750004334729	20180712115946	11015.0	542.5	20180712115946	108.873768	34.289282
桂AD96470	LGHC4V1D2HE203873	89860117750004320116	20180712103142	5052.0	555.5	20180711222945	108.258227	22.859678
桂AD06316	LGHC4V1D2HE204120	89860117750004337854	20180712112457	1921.0	588.0	20180712112457	108.425563	22.81207
鄂AD11958	LGHC4V1D0HE204147	89860117795950233193	20180712000646	54.0	530.7	20180629123742	114.418147	30.628148
鄂AD11560	LGHC4V1D0HE204150	89860117750004332806	20180712061737	57.0	533.2	20180625170532	114.509523	30.603325
鄂AD11755	LGHC4V1D4HE204152	89860117795950237558	20180712115944	9012.0	590.0	20180712115944	114.58093	30.74806
皖BD05058	LGHC4V1D8HE203974	89860117750004321015	20180712052735	29.0	550.0	20180621155647	118.311272	30.912043
皖BD05099	LGHC4V1D8HE203988	89860117750004322815	20180712044937	24.0	544.8	20180621151855	118.311325	30.912232
皖BD09909	LGHC4V1D5HE204001	89860117750004323698	20180712090425	6195.0	588.2	20180704082923	118.312078	30.911688
陕A1D3R5	LGHC4V1D1HE204125	89860117750004322476	20180711101011	196.0	565.8	20180711101011	108.89352	34.327492
川AD03829	LMPG2KAB3HE205910	89860117795950236576	20180712115238	13917.0	578.3	20180712115238	104.038987	30.746388
川AD01593	LMPG2KAB8HE205918	89860117795950237095	20180712110122	10936.0	562.5	20180712110122	104.171715	30.526205
粤AM59T7	LGHC4V1D9HE202560	89860117795950087862	20180708011207	24194.0	558.6	20180708011207	113.296128	23.309805
粤A6Q6E4	LGHC4V1D6HE202564	89860117795950081733	20180712044934	6516.0	555.7	20180706162522	113.459168	23.148293
川AD08811	LMPG2KAB9HE205927	89860117795950231312	20180712115934	1471.0	558.5	20180712115934	103.987933	30.527095
川AD15139	LMPG2KAB8HE205935	89860117795950234241	20180712115942	7855.0	568.8	20180712115942	104.057553	30.57706
川AD03827	LMPG2KAB5HE205942	89860117795950234704	20180712070704	3122.0	624.5	20180710190047	104.124933	30.796012
川AD01507	LMPG2KAB6HE205948	89860117795950232492	20180712114804	8180.0	0.0	20180712114804	104.005135	30.627142
浙AL92E3	LGHC4V1D7HE203125	89860117750004326030	20180712075248	90.0	563.1	20180513153326	120.045632	30.313895
川AD11320	LGHC4V1D9HE203773	89860117750004321353	20180712115502	20121.0	554.2	20180712115502	104.071015	30.630508
津AD36691	LGHC4V1D2HE203923	89860117750004337672	20180712061217	443.0	554.6	20180615161445	114.549927	38.075108
津AD29383	LGHC4V1D3HE203932	89860117750004322567	20180712104659	65.0	584.3	20180614084330	117.026648	39.108293
川A23X9L	LGHC4V1D8HE202100	89860117796000439525	20180712092435	32529.0	564.5	20180712092435	104.255833	30.722458
川AD15119	LMPG2KAB9HE205894	89860117795950230918	20180712115938	4832.0	592.1	20180712115938	104.107163	30.597493
川AD08105	LMPG2KAB0HE205900	89860117795950235248	20180712005312	51.0	618.6	20180705122501	104.132397	30.794752
陕A6D7X2	LGHC4V1D0HE204133	89860117750004320074	20180712110438	70.0	558.2	20180628100352	108.942802	34.136723
陕A1D5L3	LGHC4V1D9HE204146	89860117750004321262	20180712115935	7795.0	580.8	20180712115935	108.997523	34.341412
陕A3D4D2	LGHC4V1D3HE204174	89860117750004320314	20180712115945	2202.0	565.0	20180712115945	108.930415	34.127653
陕A3D2G7	LGHC4V1D8HE204185	89860117750004320918	20180712115955	4650.0	572.0	20180712115955	108.852397	34.282
陕A6D2U3	LGHC4V1D1HE204187	89860117750004323318	20180712115947	6205.0	554.5	20180712115947	108.870895	34.189887
陕A3D9M1	LGHC4V1D9HE204194	89860117750004333887	20180712115940	8776.0	570.8	20180712115940	108.941925	34.261345
陕A6D0J3	LGHC4V1D4HE204202	89860117795950238317	20180712042417	22.0	549.8	20180621145451	108.942807	34.136875
陕A1D7M2	LGHC4V1D1HE204223	89860117750004323805	20180712013452	75.0	556.8	20180710132823	108.867265	34.292907
桂AD06930	LGHC4V1D6HE203875	89860117750004320157	20180712100431	2077.0	585.3	20180712100431	108.353818	22.808273
桂AD03055	LGHC4V1DXHE203877	89860117750004324332	20180712115936	3032.0	583.8	20180712115936	110.343107	22.729173
桂AD08508	LGHC4V1D3HE203879	89860117750004320124	20180712110935	4916.0	554.0	20180712110935	109.33139	24.342153
桂AD594G	LGHC4V1D6HE204119	89860117750004337649	20180712113959	1677.0	556.7	20180712113959	109.332485	24.342752
桂AQ318D	LGHC4V1D6HE204122	89860117750004321403	20180712115517	7068.0	0.0	20180712115517	109.18002	21.638772
桂AD03397	LGHC4V1DXHE204124	89860117750004324076	20180712115937	1493.0	542.5	20180712115937	108.289432	22.765658
桂AD08121	LGHC4V1D5HE204127	89860117750004320942	20180712113046	1306.0	537.1	20180712113046	110.322933	22.790892
皖BD00525	LGHC4V1D2HE203968	89860117750004323185	20180712040450	29.0	589.6	20180628150523	118.31148	30.912182
皖BD00225	LGHC4V1D0HE203970	89860117750004320306	20180712044330	29.0	589.1	20180628154400	118.311422	30.91205
皖BD05000	LGHC4V1D4HE203972	89860117750004324407	20180712032231	32.0	587.8	20180628142252	118.311572	30.912078
皖BD02227	LGHC4V1D1HE203976	89860117750004324621	20180712024012	41.0	588.0	20180626133136	118.311323	30.91237
皖BD05008	LGHC4V1D5HE203981	89860117750004320900	20180712041118	1452.0	588.5	20180710160455	118.473205	31.683658
皖BD06776	LGHC4V1D7HE203982	89860117750004321767	20180712034654	24.0	583.5	20180628144705	118.31147	30.912147
皖BD05078	LGHC4V1D8HE203991	89860117750004324100	20180712044619	32.0	584.5	20180628154634	118.311428	30.912263
皖BD00221	LGHC4V1D7HE203996	89860117750004323425	20180712010025	34.0	585.7	20180623113814	118.31132	30.91243
皖BD02110	LGHC4V1D2HE203999	89860117750004324746	20180712033313	24.0	585.5	20180628143331	118.31151	30.912402
粤BD42548	LGHC4V1D3HE205325	89860117750004339389	20180710163251	102.0	535.6	20180707161924	114.193635	22.631267
粤BD47329	LGHC4V1D5HE205326	89860117750004310943	20180712115946	4325.0	557.5	20180712115946	113.902177	22.574493
粤BD71205	LGHC4V1D7HE205327	89860117750004339348	20180712103459	361.0	534.2	20180602194222	114.194007	22.632415
粤BD71152	LGHC4V1D6HE205352	89860117750004312063	20180712094400	89.0	524.6	20180602185040	114.194488	22.632345
粤BD42586	LGHC4V1D8HE205353	89860117750004339165	20180712102841	77.0	513.2	20180603073815	114.19379	22.632648
粤BD78607	LGHC4V1D1HE205355	89860117750004310661	20180712115212	6582.0	552.5	20180712115212	114.317825	22.676483
粤BD56157	LGHC4V1D3HE205356	89860117750004310851	20180712102205	104.0	579.0	20180602192931	114.193927	22.632507
粤BD73202	LGHC4V1D5HE205357	89860117750004312816	20180604174136	75.0	517.9	20180602173214	114.193828	22.632717
粤BD58249	LGHC4V1D9HE205359	89860117750004310083	20180712102950	105.0	539.7	20180602193649	114.193733	22.632557
粤BD42747	LGHC4V1D5HE205360	89860117750004338498	20180712115949	227.0	561.7	20180712115949	114.005298	22.731468
粤BD45332	LGHC4V1D7HE205361	89860117750004311008	20180712112645	115.0	568.2	20180710232028	114.296467	22.679417
粤BD73670	LGHC4V1D9HE205362	89860117750004311974	20180712095808	145.0	556.4	20180602190539	114.194275	22.632362
粤BD78236	LGHC4V1D2HE205364	89860117750004339934	20180712080519	101.0	544.3	20180602171317	114.194345	22.632135
粤BD49812	LGHC4V1D4HE205365	89860117750004310950	20180712110259	100.0	521.6	20180712110259	114.193615	22.631373
粤BD78687	LGHC4V1D8HE205367	89860117750004312691	20180712103746	7551.0	589.0	20180712103746	113.83449	22.64076
粤BD56137	LGHC4V1DXHE205368	89860117750004310117	20180603083438	105.0	509.8	20180603083438	114.19401	22.632393
粤BD73612	LGHC4V1D1HE205369	89860117795950227450	20180712092048	115.0	560.5	20180712092048	114.296412	22.679397
粤BD45312	LGHC4V1DXHE205371	89860117750004339108	20180712103753	283.0	522.6	20180712103753	114.19365	22.631295
粤BD40463	LGHC4V1D3HE205373	89860117750004314085	20180712115932	541.0	566.5	20180712115932	113.9656	22.525873
粤BD78623	LGHC4V1D5HE205374	89860117750004310034	20180712102430	69.0	517.5	20180602193146	114.193677	22.632602
粤BD46592	LGHC4V1D7HE205375	89860117750004312667	20180712050813	217.0	525.0	20180707164831	114.193885	22.631237
粤BD55146	LGHC4V1D9HE205376	89860117750004339751	20180712104358	298.0	544.0	20180712104358	114.19379	22.631315
粤BD56165	LGHC4V1D2HE205378	89860117750004314119	20180712095058	90.0	0.0	20180602185804	114.194472	22.632168
粤BD78276	LGHC4V1D4HE205379	89860117750004312196	20180712095910	122.0	567.1	20180602190544	114.194375	22.632103
粤BD46718	LGHC4V1D0HE205380	89860117750004339371	20180712104954	127.0	561.0	20180712104954	114.194273	22.632727
粤BD71379	LGHC4V1D2HE205381	89860117750004338266	20180712113720	3675.0	526.8	20180712113720	113.834857	22.640787
粤BD71103	LGHC4V1D6HE205383	89860117750004313210	20180712115942	342.0	522.3	20180712115942	114.058678	22.547442
粤BD56349	LGHC4V1D8HE205384	89860117750004312915	20180712113514	141.0	528.1	20180712113514	114.194045	22.632627
粤BD78291	LGHC4V1D1HE205386	89860117750004314796	20180712021501	112.0	548.7	20180608114905	114.19437	22.632167
粤BD78970	LGHC4V1D3HE205387	89860117750004338332	20180712115942	6052.0	565.0	20180712115942	113.911633	22.488053
粤BD58217	LGHC4V1D5HE205388	89860117750004312725	20180712040529	94.0	543.8	20180707154545	114.193862	22.631253
粤BD73607	LGHC4V1D7HE205389	89860117750004310638	20180712081740	130.0	554.3	20180602172547	114.194335	22.632107
粤BD42555	LGHC4V1D5HE205391	89860117750004313509	20180712083458	4004.0	520.6	20180712083458	114.21615	22.647138
粤BD75761	LGHC4V1D7HE205392	89860117750004314994	20180712074114	458.0	566.1	20180712074114	113.92122	22.533435
粤BD90277	LGHC4V1D9HE205393	89860117750004338902	20180712115118	101.0	546.9	20180712115118	114.193355	22.63305
粤BD40052	LGHC4V1D0HE205394	89860117750004339314	20180712100829	92.0	513.0	20180712100829	114.194342	22.632533
粤BD45320	LGHC4V1D4HE205396	89860117750004338308	20180712110435	520.0	555.2	20180712110435	114.21926	22.749123
粤BD79857	LGHC4V1D6HE205397	89860117795950226122	20180712105059	104.0	546.2	20180602195806	114.19376	22.632758
粤BD59173	LGHC4V1D8HE205398	89860117750004338548	20180712115619	141.0	557.3	20180712115619	114.194113	22.632648
粤BD78227	LGHC4V1DXHE205399	89860117750004314309	20180712114710	1760.0	554.7	20180712114710	114.214787	22.627907
浙AK60N3	LGHC4V1D4HE203485	89860117750004317344	20180712075912	49.0	565.3	20180511152925	120.045802	30.314075
浙AK71W7	LGHC4V1D8HE203487	89860117750004325156	20180712093920	99.0	572.0	20180709092629	120.582898	30.301537
浙AN30H9	LGHC4V1D1HE203489	89860117750004319589	20180712092542	60.0	561.4	20180620195118	120.045752	30.314383
浙AH59G9	LGHC4V1D1HE203492	89860117750004328614	20180712045510	37.0	565.9	20180513123426	120.045732	30.314042
浙AN18H9	LGHC4V1D9HE203496	89860117750004319118	20180712104000	7511.0	570.1	20180712104000	120.175697	30.342565
浙AJ75N3	LGHC4V1D2HE203498	89860117795950229720	20180712052250	32.0	562.9	20180513125728	120.045715	30.313718
浙AK50T6	LGHC4V1D7HE203500	89860117750004319092	20180712054931	35.0	570.8	20180619161102	120.046012	30.313883
浙AJ50P2	LGHC4V1D2HE203503	89860117750004326055	20180712045431	37.0	563.8	20180513123634	120.045763	30.313973
